Year,Film,Language,Director,Writer,Cast,Producer
1960,Kalathur Kannamma,Tamil,,,Kamal Haasan,
1962,Feinstein,Tamil,,,Kamal Haasan,
1962,Paadha Kaanikkai,Tamil,,,Kamal Haasan,
1962,Kannum Karalum,Malayalam,,,Kamal Haasan,
1963,Vanambadi,Tamil,,,Kamal Haasan,
1963,Anandha Jodhi,Tamil,,,Kamal Haasan,
1970,Maanavan,Tamil,,,Kamal Haasan,
1971,Annai Velankanni,Tamil,,,Kamal Haasan,
1972,Kurathi Magan,Tamil,,,Kamal Haasan,
1972,Prathikaram,Malayalam,,,Kamal Haasan,
1973,Arangetram,Tamil,,,Kamal Haasan,
1973,Sollathaan Ninaikkiren,Tamil,,,Kamal Haasan,
1974,Paruva Kaalam,Tamil,,,Kamal Haasan,
1974,Gumasthavin Magal,Tamil,,,Kamal Haasan,
1974,Naan Avanillai,Tamil,,,Kamal Haasan,
1974,Kanyakumari,Malayalam,,,Kamal Haasan,
1974,Anbu Thangai,Tamil,,,Kamal Haasan,
1974,Vishnu Vijayam,Malayalam,,,Kamal Haasan,
1974,Aval Oru Thodar Kathai,Tamil,,,Kamal Haasan,
1974,Panathukkaga,Tamil,,,Kamal Haasan,
1975,Cinema Paithiyam,Tamil,,,Kamal Haasan,
1975,Pattampoochi,Tamil,,,Kamal Haasan,
1975,Aayirathil Oruthi,Tamil,,,Kamal Haasan,
1975,Then Sindhudhe Vaanam,Tamil,,,Kamal Haasan,
1975,Melnaattu Marumagal,Tamil,,,Kamal Haasan,
1975,Thangathile Vairam,Tamil,,,Kamal Haasan,
1975,Pattikkaattu Raja,Tamil,,,Kamal Haasan,
1975,Njan Ninne Premikkunnu,Malayalam,,,Kamal Haasan,
1975,Maalai Sooda Vaa,Tamil,,,Kamal Haasan,
1975,Apoorva Raagangal,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1975,Thiruvonam,Malayalam,,,Kamal Haasan,
1975,Mattoru Seetha,Malayalam,,,Kamal Haasan,
1975,Raasaleela,Malayalam,,,Kamal Haasan,
1975,Andharangam,Tamil,,,Kamal Haasan,
1976,Agni Pushpam,Malayalam,,,Kamal Haasan,
1976,Appooppan,Malayalam,,,Kamal Haasan,
1976,Samasya,Malayalam,,,Kamal Haasan,
1976,Manmadha Leelai,Tamil,,,Kamal Haasan,
1976,Anthuleni Katha,Telugu,,,"['Kamal Haasan', 'Rajinikanth']",
1976,Swimming Pool,Malayalam,,,Kamal Haasan,
1976,Aruthu,Malayalam,,,Kamal Haasan,
1976,Satyam,Tamil,,,Kamal Haasan,
1976,Oru Oodhappu Kan Simittugiradhu,Tamil,,,Kamal Haasan,
1976,Unarchigal,Tamil,,,Kamal Haasan,
1976,Kuttavum Shikshayum,Malayalam,,,Kamal Haasan,
1976,Kumara Vijayam,Tamil,,,Kamal Haasan,
1976,Idhaya Malar,Tamil,,,Kamal Haasan,
1976,Ponni,Malayalam,,,Kamal Haasan,
1976,Nee Ente Lahari,Malayalam,,,Kamal Haasan,
1976,Moondru Mudichu,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1976,Mogam Muppadhu Varusham,Tamil,,,Kamal Haasan,
1976,Lalitha,Tamil,,,Kamal Haasan,
1977,Uyarnthavargal,Tamil,,,Kamal Haasan,
1977,Siva Thandavum,Malayalam,,,Kamal Haasan,
1977,Aasheervaadam,Malayalam,,,Kamal Haasan,
1977,Avargal,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1977,Aaina,Hindi,,,Kamal Haasan,
1977,Sreedevi,Malayalam,,,Kamal Haasan,
1977,Unnai Suttrum Ulagam,Tamil,,,Kamal Haasan,
1977,Kabita,Bengali,,,Kamal Haasan,
1977,Ashtamangalyam,Malayalam,,,Kamal Haasan,
1977,Nirakudam,Malayalam,,,Kamal Haasan,
1977,Ormakal Marikkumo,Malayalam,,,Kamal Haasan,
1977,16 Vayathinile,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1977,Aadu Puli Attam,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1977,Aanandham Paramaanandham,Malayalam,,,Kamal Haasan,
1977,Naam Pirandha Mann,Tamil,,,Kamal Haasan,
1977,Kokila,Kannada,,,Kamal Haasan,
1977,Satyavan Savithri,Malayalam,,,Kamal Haasan,
1977,Aadhya Paadam,Malayalam,,,Kamal Haasan,
1978,Madanolsavam,Malayalam,,,Kamal Haasan,
1978,Kaathirunna Nimisham,Malayalam,,,Kamal Haasan,
1978,Anumodhanam,Malayalam,,,Kamal Haasan,
1978,Avalude Ravukal,Malayalam,,,Kamal Haasan,
1978,Nizhal Nijamagiradhu,Tamil,,,Kamal Haasan,
1978,Aval Viswasthayayirunnu,Malayalam,,,Kamal Haasan,
1978,Maro Charitra,Telugu,,,Kamal Haasan,
1978,Ilamai Oonjal Aadukirathu,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1978,Amara Prema,Telugu,,,Kamal Haasan,
1978,Sattam En Kaiyil,Tamil,,,Kamal Haasan,
1978,Padakuthira,Malayalam,,,Kamal Haasan,
1978,Vayasu Pilichindi,Telugu,,,"['Kamal Haasan', 'Rajinikanth']",
1978,Vayanadan Thamban,Malayalam,,,Kamal Haasan,
1978,Sakka Podu Podu Raja,Tamil,,,Kamal Haasan,
1978,Sigappu Rojakkal,Tamil,,,Kamal Haasan,
1978,Manidharil Ithanai Nirangala,Tamil,,,Kamal Haasan,
1978,Aval Appadithan,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1978,Thappida Thala,Kannada,,,"['Kamal Haasan', 'Rajinikanth']",
1978,Thappu Thalangal,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1978,Yaetta,Malayalam,,,Kamal Haasan,
1979,Sommokadidi Sokokadidi,Telugu,,,Kamal Haasan,
1979,Sigappukkal Mookkuthi,Tamil,,,Kamal Haasan,
1979,Neeya?,Tamil,,,Kamal Haasan,
1979,Allauddinum Albhutha Vilakkum,Malayalam,,,"['Kamal Haasan', 'Rajinikanth']",
1979,Allaudinaum Arputha Vilakkum,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1979,Thaayillamal Naan Illai,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1979,Ninaithale Inikkum,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1979,Andamaina Anubhavam,Telugu,,,"['Kamal Haasan', 'Rajinikanth']",
1979,Idi Katha Kaadu,Telugu,,,Kamal Haasan,
1979,Kalyanaraman,Tamil,,,Kamal Haasan,
1979,Nool Veli,Tamil,,,Kamal Haasan,
1979,Guppedu Manasu,Telugu,,,Kamal Haasan,
1979,Mangala Vaathiyam,Tamil,,,Kamal Haasan,
1979,Neela Malargal,Tamil,,,Kamal Haasan,
1979,Azhiyatha Kolangal,Tamil,,,Kamal Haasan,
1979,Pasi,Tamil,,,Kamal Haasan,
1980,Ullasa Paravaigal,Tamil,,,Kamal Haasan,
1980,Natchathiram,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1980,Guru,Tamil,,Kamal Haasan,Kamal Haasan,
1980,Guru,Telugu,,Kamal Haasan,Kamal Haasan,
1980,Varumayin Niram Sivappu,Tamil,,,Kamal Haasan,
1980,Maria My Darling,Kannada,,,Kamal Haasan,
1980,Maria My Darling,Tamil,,,Kamal Haasan,
1980,Saranam Ayyappa,Tamil,,,Kamal Haasan,
1981,Aakali Rajyam,Telugu,,,Kamal Haasan,
1981,Meendum Kokila,Tamil,,Kamal Haasan,Kamal Haasan,
1981,Ram Lakshman,Tamil,,,Kamal Haasan,
1981,Raja Paarvai,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
1981,Thillu Mullu,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1981,Kadal Meengal,Tamil,,,Kamal Haasan,
1981,Ek Duuje Ke Liye,Hindi,,,Kamal Haasan,
1981,Savaal,Tamil,,,Kamal Haasan,
1981,Sankarlal,Tamil,,,Kamal Haasan,
1981,Amavasya Chandrudu,Telugu,,Kamal Haasan,Kamal Haasan,Kamal Haasan
1981,Tik Tik Tik,Tamil,,,Kamal Haasan,
1981,Ellam Inba Mayyam,Tamil,,,Kamal Haasan,
1982,Vazhvey Maayam,Tamil,,,Kamal Haasan,
1982,Andagaadu,Telugu,,,Kamal Haasan,
1982,Anthiveyilile Ponnu,Malayalam,,,Kamal Haasan,
1982,Neethi Devan Mayakkam,Tamil,,,Kamal Haasan,
1982,Moondram Pirai,Tamil,,,Kamal Haasan,
1982,Maattuvin Chattangale,Malayalam,,,Kamal Haasan,
1982,Simla Special,Tamil,,,Kamal Haasan,
1982,Sanam Teri Kasam,Hindi,,,Kamal Haasan,
